"slug","name"
"davisan02","Anthony Davis"
"hardeja01","James Harden"
"ellismo01","Monta Ellis"
"vucevni01","Nikola Vucevic"
"parketo01","Tony Parker"
"asikom01","Omer Asik"
"boozeca01","Carlos Boozer"
"joneste01","Terrence Jones"
"nowitdi01","Dirk Nowitzki"
"harrito02","Tobias Harris"
"ginobma01","Manu Ginobili"
"harride01","Devin Harris"
"anderry01","Ryan Anderson"
"duncati01","Tim Duncan"
"belinma01","Marco Belinelli"
"arizatr01","Trevor Ariza"
"davised01","Ed Davis"
"evansty01","Tyreke Evans"
"howardw01","Dwight Howard"
"bryanko01","Kobe Bryant"
"nelsoja01","Jameer Nelson"
"greenda02","Danny Green"
"chandty01","Tyson Chandler"
"wrighbr03","Brandan Wright"
"josepco01","Cory Joseph"
"beverpa01","Patrick Beverley"
"gordoaa01","Aaron Gordon"
"holidjr01","Jrue Holiday"
"riverau01","Austin Rivers"
"clarkjo01","Jordan Clarkson"
"terryja01","Jason Terry"
"hilljo01","Jordan Hill"
"diawbo01","Boris Diaw"
"gordoer01","Eric Gordon"
"jefferi01","Richard Jefferson"
"oquinky01","Kyle O'Quinn"
"paytoel01","Elfrid Payton"
"pricero01","Ronnie Price"
"papanko01","Kostas Papanikolaou"
"linje01","Jeremy Lin"
"crowdja01","Jae Crowder"
"dedmode01","Dewayne Dedmon"
"marblde01","Devyn Marble"
"fournev01","Evan Fournier"
"motiedo01","Donatas Motiejunas"
"johnswe01","Wesley Johnson"
"henryxa01","Xavier Henry"
"parsoch01","Chandler Parsons"
"baynear01","Aron Baynes"
"ajincal01","Alexis Ajinca"
"canaais01","Isaiah Canaan"
"salmojo01","John Salmons"
"greenwi01","Willie Green"
"gordobe01","Ben Gordon"
"babbilu01","Luke Babbitt"
"blackta01","Tarik Black"
"smithgr02","Greg Smith"
"witheje01","Jeff Withey"
"sacrero01","Robert Sacre"
"fredeji01","Jimmer Fredette"
"ridnolu01","Luke Ridnour"
"aminual01","Al-Farouq Aminu"
"randlju01","Julius Randle"
"bonnema01","Matt Bonner"
"danietr01","Troy Daniels"
"gasolma01","Marc Gasol"
"westbru01","Russell Westbrook"
"boshch01","Chris Bosh"
"gibsota01","Taj Gibson"
